id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD000056,C10041,P045,May 09 2024,2,3905.03,OK,cbl,Carte,6,2024-05-12
CMD000057,C07636,P046,Feb 16 2024,1,4976.86,retourné,CASABLANCA,Virement,17,2024-02-19
CMD000058,C06546,P014,2024-07-08,5,399.67,KO,CASABLANCA,Espèces,20,2024-07-11
CMD000059,C08257,P044,Apr 05 2024,5,995.7,livré,cbl,Espèces,10,2024-04-06
CMD000060,C07458,P010,23/02/2024,1,1195.28,livré,Agadir,Espèces,5,2024-02-28
CMD000061,C05691,P003,2024-02-23,2,2367.51,KO,tanger,Virement,11,2024-02-27
CMD000062,C04534,P044,02/10/2024,2,3629.92,DONE,casa,Carte,2,2024-10-07
CMD000063,C09672,P018,02/08/2024,2,3110.98,OK,TANGER,Espèces,13,2024-08-07
CMD000064,C03008,P001,11/03/2024,5,4195.5,livré,tanger,Carte,3,2024-03-15
CMD000065,C09306,P042,2024-06-04,2,151.7,KO,casa,Virement,1,2024-06-09
CMD000066,C03528,P003,29/06/2024,1,125.21,annulé,CASABLANCA,Virement,,2024-07-01
CMD000067,C05939,P009,Feb 27 2024,2,1036.51,retourné,TANGER,Espèces,8,2024-02-28
CMD000068,C06150,P041,24/07/2024,3,0.0,livré,tanger,Carte,17,2024-07-27
CMD000069,C07368,P015,24/08/2024,4,2395.71,annulé,Agadir,Espèces,8,2024-08-25
CMD000070,C02669,P031,30/06/2024,2,3750.8,DONE,TANGER,Carte,15,2024-07-05
CMD000071,C03884,P002,Apr 20 2024,3,4359.34,en_cours,casa,Espèces,5,2024-04-22
CMD000072,C07499,P027,Sep 10 2024,1,4701.94,OK,casa,Virement,15,2024-09-11
CMD000073,C01271,P023,Jan 06 2024,5,2647.01,annulé,casa,Carte,14,2024-01-11
CMD000074,C01316,P009,18/10/2024,5,608.29,retourné,tanger,Carte,19,2024-10-20
CMD000075,C07008,P003,2024-10-02,5,3247.56,livré,Agadir,Virement,1,2024-10-03
CMD000076,C02046,P022,07/10/2024,3,3429.74,en_cours,Agadir,Carte,15,2024-10-08
CMD000077,C04057,P007,2024-11-07,3,2876.38,livré,CASABLANCA,Virement,5,2024-11-12
CMD000078,C05752,P014,Jul 21 2024,2,2332.56,en_cours,Tnja,Carte,,2024-07-22
CMD000079,C01778,P019,2024-05-29,5,2323.11,DONE,tanger,Virement,5,2024-05-31
CMD000080,C07545,P042,2024-11-11,5,2279.46,OK,tanger,Espèces,3,2024-11-13
CMD000081,C07493,P014,2024-01-18,1,4262.68,en_cours,RABAT,Virement,19,2024-01-20
CMD000082,C07380,P038,23/09/2024,5,190.24,en_cours,casa,Carte,8,2024-09-25
CMD000083,C10002,P035,May 28 2024,1,734.81,DONE,TANGER,Espèces,12,2024-05-31
CMD000084,C02026,P045,19/01/2024,3,4407.01,DONE,rbat,Carte,19,2024-01-24
CMD000085,C00406,P037,11/07/2024,3,4583.99,retourné,TNG,Espèces,10,2024-07-13
CMD000086,C02200,P001,2024-10-05,2,2737.91,en_cours,Agadir,Carte,17,2024-10-07
CMD000087,C05125,P004,Jun 30 2024,4,4595.91,en_cours,Tnja,Carte,,2024-07-01
CMD000088,C05716,P046,May 16 2024,5,4647.89,livré,Tnja,Carte,18,2024-05-18
CMD000089,C01463,P022,15/01/2024,5,4087.26,retourné,TNG,Virement,9,2024-01-20
CMD000090,C08585,P004,2024-01-22,2,2918.1,livré,casa,Virement,7,2024-01-24
CMD000091,C02215,P023,02/10/2024,3,3489.03,DONE,tanger,Espèces,,2024-10-03
CMD000092,C06763,P010,2024-03-20,3,243.73,retourné,RABAT,Espèces,4,2024-03-24
CMD000093,C00222,P016,Nov 18 2024,2,2696.15,KO,rbat,Virement,8,2024-11-20
CMD000094,C10241,P034,2024-01-24,1,2925.72,livré,tanger,Espèces,7,2024-01-25
CMD000095,C08929,P001,2024-05-13,4,4188.16,KO,Tnja,Carte,,2024-05-17
CMD000096,C07027,P032,2024-05-30,1,2925.44,annulé,tanger,Virement,8,2024-06-02
CMD000097,C09521,P048,2024-06-13,-5,3403.71,DONE,Tnja,Carte,20,2024-06-17
CMD000098,C01034,P039,May 22 2024,1,1360.53,retourné,CASABLANCA,Espèces,19,2024-05-24
CMD000099,C09471,P040,26/03/2024,5,4574.25,DONE,cbl,Espèces,19,2024-03-29
CMD000100,C03129,P038,10/08/2024,1,1192.1,en_cours,CASABLANCA,Espèces,11,2024-08-13
CMD000101,C08038,P012,2024-05-30,2,3354.27,livré,Agadir,Virement,15,2024-06-02
CMD000102,C08789,P044,2024-09-04,3,2147.09,annulé,casa,Espèces,,2024-09-09
CMD000103,C09907,P033,11/10/2024,2,2894.12,livré,Agadir,Carte,18,2024-10-13
CMD000104,C04918,P013,Jun 05 2024,2,3232.85,en_cours,TNG,Carte,19,2024-06-07
CMD000105,C05541,P037,2024-09-19,1,4431.37,annulé,RABAT,Espèces,10,2024-09-22
CMD000106,C00162,P034,Jun 29 2024,3,3900.3,livré,RABAT,Virement,13,2024-07-01
CMD000107,C00744,P035,2024-05-22,3,4893.12,OK,Agadir,Carte,16,2024-05-25
CMD000108,C03069,P004,2024-02-12,1,4314.77,OK,rbat,Espèces,20,2024-02-16
CMD000109,C02416,P050,Oct 09 2024,4,3893.42,en_cours,rbat,Espèces,15,2024-10-10
CMD000110,C08202,P047,2024-09-07,4,1835.74,OK,RABAT,Virement,14,2024-09-10
CMD000111,C07776,P050,May 29 2024,3,804.7,DONE,casa,Espèces,17,2024-06-01
CMD000112,C00418,P032,Mar 30 2024,1,270.31,retourné,RABAT,Espèces,15,2024-04-02
CMD000113,C07566,P047,2024-09-22,2,779.63,livré,tanger,Virement,9,2024-09-25
CMD000114,C01887,P005,16/08/2024,2,4626.8,KO,casa,Espèces,7,2024-08-19
CMD000115,C00711,P013,2024-03-26,1,3836.48,annulé,tanger,Espèces,4,2024-03-29
CMD000116,C06402,P047,2024-01-08,5,3095.7,annulé,TANGER,Espèces,16,2024-01-09
CMD000117,C02313,P015,10/06/2024,3,1768.64,OK,RABAT,Virement,14,2024-06-14
CMD000118,C05942,P044,2024-03-12,4,4471.47,livré,Tnja,Virement,12,2024-03-16
CMD000119,C01944,P018,2024-04-26,2,2790.75,annulé,Agadir,Virement,1,2024-04-27
CMD000120,C06082,P033,2024-07-10,3,3109.73,KO,CASABLANCA,Carte,17,2024-07-12
CMD000121,C09677,P021,2024-01-04,2,4579.84,livré,Agadir,Carte,8,2024-01-06
CMD000122,C04545,P020,2024-06-28,4,1101.13,en_cours,CASABLANCA,Espèces,19,2024-06-29
CMD000123,C00905,P046,Sep 21 2024,3,945.14,retourné,casa,Virement,16,2024-09-26
CMD000124,C09762,P022,2024-09-25,1,2581.22,en_cours,Tnja,Carte,,2024-09-26
CMD000125,C08823,P014,13/03/2024,1,2632.49,KO,casa,Carte,9,2024-03-15
CMD000126,C09022,P030,Oct 20 2024,2,458.46,DONE,CASABLANCA,Carte,4,2024-10-23
CMD000127,C07162,P030,2024-06-24,4,188.39,retourné,Tnja,Carte,10,2024-06-28
CMD000128,C07917,P007,2024-03-27,4,2127.07,OK,tanger,Espèces,10,2024-04-01
CMD000129,C05843,P047,04/08/2024,4,1933.73,OK,Agadir,Virement,10,2024-08-07
CMD000130,C09865,P013,09/08/2024,5,4994.19,KO,cbl,Espèces,11,2024-08-11
CMD000131,C07218,P023,May 08 2024,1,4183.87,KO,rbat,Espèces,11,2024-05-09
CMD000132,C02213,P026,Jan 28 2024,1,3068.82,annulé,RABAT,Carte,19,2024-02-02
CMD000133,C02290,P049,2024-07-07,4,596.84,OK,TANGER,Virement,2,2024-07-10
CMD000134,C03642,P008,25/11/2024,3,3082.76,DONE,cbl,Virement,4,2024-11-26
CMD000135,C04038,P032,03/04/2024,3,2367.42,OK,TANGER,Carte,11,2024-04-05
CMD000136,C02382,P032,20/10/2024,4,3530.1,retourné,casa,Carte,4,2024-10-23
CMD000137,C04482,P050,2024-02-04,5,4777.31,annulé,RABAT,Carte,20,2024-02-05
CMD000138,C00868,P030,Nov 06 2024,5,3788.96,retourné,RABAT,Carte,5,2024-11-11
CMD000139,C06858,P006,Aug 11 2024,1,2708.82,en_cours,Agadir,Virement,13,2024-08-13
CMD000140,C02393,P036,Oct 27 2024,2,3022.93,retourné,cbl,Virement,12,2024-10-29
CMD000141,C08173,P018,Feb 23 2024,-1,440.97,KO,TNG,Espèces,17,2024-02-28
CMD000142,C03938,P026,2024-04-14,2,794.03,DONE,rbat,Virement,3,2024-04-18
CMD000143,C05419,P039,28/09/2024,5,1063.54,retourné,tanger,Espèces,20,2024-10-02
CMD000144,C06009,P030,29/09/2024,4,981.22,DONE,casa,Espèces,17,2024-09-30
CMD000145,C09423,P005,2024-07-25,2,182.68,KO,tanger,Carte,2,2024-07-28
CMD000146,C08004,P023,Jan 18 2024,3,375.93,livré,rbat,Espèces,15,2024-01-21
CMD000147,C06316,P040,2024-08-26,3,1801.94,KO,cbl,Espèces,13,2024-08-29
CMD000148,C10093,P047,10/05/2024,5,4678.45,KO,CASABLANCA,Virement,15,2024-05-15
CMD000149,C05721,P041,Feb 27 2024,4,3169.49,livré,CASABLANCA,Virement,18,2024-03-02
CMD000150,C09617,P014,Apr 05 2024,2,4017.64,retourné,TANGER,Carte,,2024-04-10
CMD000151,C05176,P027,Aug 16 2024,3,322.94,retourné,casa,Espèces,3,2024-08-17
CMD000152,C07561,P019,24/02/2024,4,3018.46,OK,TNG,Espèces,2,2024-02-28
CMD000153,C07623,P006,2024-10-22,3,248.4,livré,TANGER,Virement,6,2024-10-23
CMD000154,C06796,P031,15/07/2024,5,3327.29,OK,TANGER,Espèces,14,2024-07-19
CMD000155,C02922,P019,03/02/2024,1,3925.35,retourné,CASABLANCA,Carte,5,2024-02-07
CMD000156,C01668,P030,Nov 13 2024,2,372.78,DONE,rbat,Virement,18,2024-11-15
CMD000157,C09711,P020,Jul 31 2024,1,3313.35,KO,Agadir,Espèces,14,2024-08-04
CMD000158,C01398,P007,2024-04-26,1,59.77,retourné,cbl,Carte,8,2024-04-28
CMD000159,C05742,P034,14/09/2024,1,2214.72,en_cours,tanger,Carte,4,2024-09-18
CMD000160,C01291,P038,15/04/2024,5,3552.05,livré,Agadir,Virement,18,2024-04-19
CMD000161,C09686,P027,2024-11-06,1,1654.13,en_cours,TANGER,Virement,19,2024-11-08
CMD000162,C01856,P043,2024-01-03,5,55.43,en_cours,Tnja,Carte,5,2024-01-05
CMD000163,C04517,P015,28/06/2024,-5,4172.43,en_cours,cbl,Virement,18,2024-06-30
CMD000164,C00771,P012,2024-05-24,1,4134.85,KO,TANGER,Virement,2,2024-05-28
CMD000165,C00886,P013,2024-04-02,4,2073.81,KO,casa,Espèces,19,2024-04-04
CMD000166,C05226,P033,11/04/2024,5,4850.15,DONE,cbl,Virement,8,2024-04-15
CMD000167,C08216,P038,18/06/2024,1,319.19,livré,rbat,Virement,6,2024-06-19
CMD000168,C06054,P039,19/06/2024,3,2046.86,livré,CASABLANCA,Carte,17,2024-06-24
CMD000169,C03194,P018,11/04/2024,4,4634.68,livré,CASABLANCA,Espèces,7,2024-04-13
CMD000170,C05595,P017,14/07/2024,3,550.79,annulé,tanger,Espèces,1,2024-07-19
CMD000171,C02323,P010,2024-10-25,4,1299.85,annulé,casa,Espèces,18,2024-10-28
CMD000172,C05328,P032,Feb 04 2024,3,1904.2,en_cours,TANGER,Espèces,15,2024-02-06
CMD000173,C08530,P029,20/02/2024,5,2972.75,en_cours,casa,Espèces,15,2024-02-25
CMD000174,C08895,P020,Aug 29 2024,2,3559.8,DONE,rbat,Virement,18,2024-09-03
CMD000175,C01970,P040,25/06/2024,4,3372.89,KO,Agadir,Carte,2,2024-06-30
CMD000176,C10022,P050,Oct 03 2024,5,4125.0,retourné,TNG,Espèces,20,2024-10-06
CMD000177,C08583,P043,2024-11-13,5,2889.71,en_cours,cbl,Carte,19,2024-11-17
CMD000178,C00384,P016,Jul 26 2024,2,4067.31,DONE,Tnja,Virement,16,2024-07-29
CMD000179,C02534,P036,Aug 11 2024,4,2946.51,annulé,CASABLANCA,Carte,10,2024-08-15
CMD000180,C01067,P013,2024-08-09,4,268.55,en_cours,rbat,Espèces,11,2024-08-13
CMD000181,C07532,P023,30/03/2024,5,2049.93,retourné,TNG,Espèces,,2024-03-31
CMD000182,C00277,P027,2024-05-03,4,539.07,en_cours,TNG,Virement,16,2024-05-04
CMD000183,C04079,P021,05/08/2024,3,4968.7,DONE,rbat,Espèces,10,2024-08-08
CMD000184,C04606,P029,Jul 20 2024,3,0.0,DONE,CASABLANCA,Virement,16,2024-07-21
CMD000185,C02994,P029,2024-06-02,5,265.14,retourné,cbl,Carte,1,2024-06-06
CMD000186,C05615,P044,12/08/2024,3,156.93,annulé,casa,Virement,6,2024-08-13
CMD000187,C09383,P046,2024-09-21,2,1025.73,annulé,RABAT,Espèces,4,2024-09-22
CMD000188,C08384,P018,18/09/2024,5,4217.64,KO,Agadir,Carte,1,2024-09-20
CMD000189,C01665,P033,31/01/2024,2,2597.79,en_cours,casa,Espèces,20,2024-02-03
CMD000190,C05771,P026,2024-05-11,2,1190.96,DONE,tanger,Carte,20,2024-05-14
CMD000191,C05337,P028,23/03/2024,2,2502.91,retourné,tanger,Espèces,7,2024-03-27
CMD000192,C07727,P004,2024-06-15,1,4727.46,KO,TANGER,Espèces,14,2024-06-17
CMD000193,C04790,P037,25/08/2024,3,2030.17,annulé,RABAT,Espèces,10,2024-08-27
CMD000194,C09495,P031,Jan 19 2024,5,4700.07,KO,TANGER,Espèces,4,2024-01-21
CMD000195,C00709,P019,Feb 15 2024,1,631.7,annulé,Agadir,Carte,1,2024-02-19
CMD000196,C00490,P032,13/07/2024,4,4794.14,en_cours,RABAT,Espèces,18,2024-07-16
CMD000197,C00235,P012,2024-05-20,3,844.13,retourné,TANGER,Virement,1,2024-05-23
CMD000198,C04700,P020,2024-03-11,3,4439.43,KO,TANGER,Espèces,17,2024-03-15
CMD000199,C03055,P014,2024-04-07,5,94.78,DONE,Agadir,Espèces,7,2024-04-09
CMD000200,C00838,P028,Jul 10 2024,3,4523.46,OK,Agadir,Espèces,10,2024-07-12
CMD000201,C08192,P033,10/03/2024,5,2610.17,DONE,cbl,Espèces,7,2024-03-13
CMD000202,C05696,P027,05/03/2024,2,4134.83,OK,cbl,Virement,3,2024-03-10
CMD000203,C08067,P011,07/06/2024,2,763.95,en_cours,rbat,Carte,9,2024-06-10
CMD000204,C01009,P013,31/03/2024,1,247.89,livré,TNG,Carte,18,2024-04-04
CMD000205,C05991,P039,Aug 12 2024,4,1039.98,en_cours,rbat,Espèces,9,2024-08-13
CMD000206,C00565,P025,Apr 11 2024,2,472.96,livré,casa,Virement,18,2024-04-15
CMD000207,C00008,P023,Jul 06 2024,1,2379.57,en_cours,tanger,Espèces,20,2024-07-08
CMD000208,C07635,P015,2024-11-15,1,3266.33,livré,RABAT,Carte,6,2024-11-20
CMD000209,C07265,P009,2024-08-31,4,2492.05,DONE,casa,Carte,10,2024-09-02
CMD000210,C05376,P028,2024-07-08,3,4444.19,OK,TANGER,Espèces,17,2024-07-11
CMD000211,C03268,P048,Apr 08 2024,2,1841.96,KO,RABAT,Carte,17,2024-04-12
CMD000212,C02020,P002,Sep 13 2024,2,2643.63,livré,casa,Espèces,17,2024-09-18
CMD000213,C08246,P031,20/05/2024,1,2416.57,en_cours,TANGER,Carte,5,2024-05-24
CMD000214,C04503,P010,2024-05-02,2,2872.64,livré,TNG,Carte,3,2024-05-05
CMD000215,C09522,P022,2024-08-03,3,4381.52,KO,TNG,Carte,19,2024-08-04
CMD000216,C02192,P019,06/08/2024,4,1653.4,en_cours,Tnja,Virement,11,2024-08-10
CMD000217,C09196,P046,Nov 21 2024,4,4937.2,en_cours,tanger,Carte,9,2024-11-26
CMD000218,C04179,P002,2024-03-13,4,3262.33,DONE,TANGER,Carte,6,2024-03-16
CMD000219,C06149,P002,12/11/2024,5,2599.92,annulé,rbat,Carte,17,2024-11-17
CMD000220,C04980,P038,06/07/2024,3,1781.45,DONE,TNG,Carte,19,2024-07-08
CMD000221,C03887,P034,24/04/2024,4,2564.29,annulé,TANGER,Carte,15,2024-04-28
CMD000222,C09350,P013,2024-08-30,3,2160.73,OK,TNG,Espèces,2,2024-08-31
CMD000223,C09792,P011,2024-08-27,4,4322.72,retourné,rbat,Carte,20,2024-08-30
CMD000224,C03217,P012,2024-04-28,5,4950.49,OK,CASABLANCA,Virement,4,2024-05-01
CMD000225,C06382,P020,Jun 13 2024,3,2041.41,KO,RABAT,Virement,4,2024-06-14
CMD000226,C09394,P027,2024-08-29,4,593.98,OK,Agadir,Carte,1,2024-08-31
CMD000227,C00533,P025,06/08/2024,2,4465.32,DONE,tanger,Carte,4,2024-08-09
CMD000228,C08781,P025,May 16 2024,4,3527.65,retourné,casa,Espèces,5,2024-05-19
CMD000229,C01257,P044,2024-09-11,4,524.64,OK,RABAT,Virement,2,2024-09-14
CMD000230,C02023,P006,2024-02-21,4,3818.42,OK,cbl,Espèces,8,2024-02-25
CMD000231,C08732,P039,21/09/2024,5,3690.1,retourné,Agadir,Virement,19,2024-09-26
CMD000232,C03043,P022,May 18 2024,5,3917.53,retourné,casa,Espèces,1,2024-05-22
CMD000233,C04724,P018,Feb 10 2024,1,3747.82,retourné,TNG,Carte,13,2024-02-15
CMD000234,C04095,P049,2024-03-27,2,2825.55,OK,rbat,Espèces,15,2024-03-29
CMD000235,C08778,P006,Oct 24 2024,2,1684.47,livré,cbl,Carte,16,2024-10-26
CMD000236,C02297,P002,2024-01-14,1,2402.88,retourné,TANGER,Espèces,2,2024-01-16
CMD000237,C01674,P014,2024-10-14,2,4611.23,livré,Agadir,Espèces,,2024-10-19
CMD000238,C05466,P002,2024-02-29,2,3783.07,KO,TANGER,Virement,17,2024-03-02
CMD000239,C05090,P035,01/10/2024,2,4033.0,DONE,casa,Carte,20,2024-10-03
CMD000240,C00042,P012,14/05/2024,3,804.71,KO,CASABLANCA,Virement,,2024-05-18
CMD000241,C04842,P014,21/05/2024,5,4361.04,KO,Tnja,Carte,4,2024-05-25
CMD000242,C04554,P021,Sep 29 2024,4,2252.4,OK,TNG,Espèces,9,2024-10-03
CMD000243,C03382,P010,13/07/2024,1,4164.27,DONE,tanger,Carte,17,2024-07-17
CMD000244,C10154,P015,29/10/2024,2,3639.27,livré,RABAT,Carte,2,2024-11-02
CMD000245,C02983,P013,May 15 2024,3,2022.71,livré,rbat,Carte,10,2024-05-18
CMD000246,C00044,P042,12/04/2024,3,207.72,DONE,cbl,Virement,2,2024-04-13
CMD000247,C07567,P022,2024-03-12,2,2103.39,livré,tanger,Carte,20,2024-03-13
CMD000248,C06457,P035,2024-02-23,5,4109.86,OK,cbl,Carte,17,2024-02-28
CMD000249,C01719,P048,2024-01-02,1,867.38,retourné,cbl,Virement,5,2024-01-07
CMD000250,C07779,P025,2024-06-15,1,891.47,DONE,TNG,Carte,8,2024-06-16
CMD000251,C01010,P026,Feb 10 2024,1,2102.22,DONE,casa,Espèces,17,2024-02-15
CMD000252,C05759,P031,2024-08-15,1,1200.44,retourné,TANGER,Espèces,18,2024-08-18
CMD000253,C09371,P011,May 28 2024,2,1383.05,KO,rbat,Espèces,14,2024-06-01
CMD000254,C08206,P013,24/02/2024,4,1583.84,retourné,casa,Espèces,,2024-02-28
CMD000255,C07245,P031,03/02/2024,4,2122.07,en_cours,casa,Espèces,19,2024-02-07
CMD000256,C03378,P024,Nov 18 2024,5,588.01,DONE,TNG,Espèces,13,2024-11-20
CMD000257,C09401,P014,Aug 25 2024,3,2143.25,retourné,rbat,Virement,2,2024-08-29
CMD000258,C02859,P023,12/01/2024,3,3235.3,KO,Tnja,Carte,13,2024-01-15
CMD000259,C05570,P027,2024-01-04,-4,2229.13,DONE,rbat,Espèces,16,2024-01-08
CMD000260,C09812,P039,Mar 23 2024,3,2911.27,livré,rbat,Carte,,2024-03-25
CMD000261,C07862,P020,2024-01-16,2,3610.07,KO,cbl,Virement,10,2024-01-18
CMD000262,C06028,P043,Feb 26 2024,4,513.03,en_cours,Agadir,Virement,17,2024-02-28
CMD000263,C02169,P009,08/02/2024,3,711.63,OK,Agadir,Carte,15,2024-02-13
CMD000264,C04829,P046,Jun 16 2024,4,3471.16,retourné,Agadir,Espèces,8,2024-06-19
CMD000265,C01728,P041,Aug 13 2024,1,3267.33,en_cours,cbl,Espèces,18,2024-08-18
CMD000266,C06171,P015,2024-05-04,3,1029.54,OK,RABAT,Espèces,8,2024-05-06
CMD000267,C10238,P038,09/04/2024,1,2387.23,DONE,TNG,Virement,16,2024-04-11
CMD000268,C05784,P022,2024-01-09,1,2192.12,DONE,Tnja,Espèces,20,2024-01-10
CMD000269,C05846,P029,2024-11-19,1,4982.45,DONE,casa,Espèces,13,2024-11-21
CMD000270,C06270,P034,Jul 24 2024,-3,3956.01,DONE,casa,Carte,17,2024-07-28
CMD000271,C03477,P007,18/10/2024,5,1995.06,retourné,rbat,Carte,,2024-10-19
CMD000272,C02945,P046,2024-03-15,2,4205.14,DONE,casa,Espèces,8,2024-03-18
CMD000273,C03024,P027,May 31 2024,5,2348.51,DONE,cbl,Virement,5,2024-06-03
CMD000274,C04767,P033,13/01/2024,5,4371.15,en_cours,Tnja,Virement,19,2024-01-17
CMD000275,C08177,P019,2024-03-29,2,4917.57,retourné,Tnja,Espèces,8,2024-04-01
CMD000276,C00642,P005,Jul 17 2024,5,3278.85,KO,RABAT,Carte,2,2024-07-18
CMD000277,C04914,P030,27/02/2024,2,2273.26,KO,TNG,Espèces,,2024-02-29
CMD000278,C03703,P036,14/04/2024,5,2487.64,OK,casa,Espèces,7,2024-04-19
CMD000279,C06997,P050,Nov 19 2024,1,995.49,en_cours,Tnja,Carte,4,2024-11-21
CMD000280,C03886,P001,2024-08-17,2,2398.75,DONE,RABAT,Carte,9,2024-08-18
CMD000281,C06887,P049,2024-06-29,2,440.7,annulé,RABAT,Espèces,17,2024-06-30
CMD000282,C06809,P013,17/01/2024,4,2445.78,annulé,cbl,Virement,4,2024-01-20
CMD000283,C05789,P041,2024-10-02,1,4453.02,en_cours,Agadir,Carte,16,2024-10-06
